12/10/1977,32,-4,M
12/11/1977,7,-6,M
12/12/1977,16,0,M
12/13/1977,36,16,7
12/14/1977,48,32,4
12/15/1977,50,30,T
12/16/1977,37,27,T
12/17/1977,50,28,T
12/18/1977,50,32,T
12/19/1977,38,28,1
12/20/1977,31,27,1
12/21/1977,30,23,3
12/22/1977,26,15,3
12/23/1977,32,17,3
12/24/1977,42,M,0
12/25/1977,45,25,T
12/26/1977,26,-2,1
12/27/1977,8,-2,2
12/28/1977,15,0,5
12/29/1977,14,-1,5
12/30/1977,29,10,5
12/31/1977,40,25,2
2/1/1977,12,1,28
2/2/1977,10,2,27
2/3/1977,27,7,27
2/4/1977,30,20,27
2/5/1977,28,11,31
2/6/1977,12,-3,32
2/7/1977,4,-4,32
2/8/1977,10,0,32
2/9/1977,24,3,31
2/10/1977,36,18,29
2/11/1977,44,29,26
2/12/1977,48,26,23
2/13/1977,45,28,21
2/14/1977,30,15,21
2/15/1977,33,13,22
2/16/1977,15,3,22
2/17/1977,14,-2,22
2/18/1977,15,0,22
2/19/1977,32,15,22
2/20/1977,31,14,27
2/21/1977,20,5,28
2/22/1977,31,7,28
2/23/1977,49,31,18
2/24/1977,58,40,15
2/25/1977,45,34,12
2/26/1977,48,20,11
2/27/1977,52,32,6
2/28/1977,56,20,5
3/1/1977,27,20,7
3/2/1977,27,10,9
3/3/1977,33,12,7
3/4/1977,50,27,4
3/5/1977,50,34,2
3/6/1977,46,15,T
3/7/1977,40,23,T
3/8/1977,31,22,T
3/9/1977,48,23,T
3/10/1977,62,40,T
3/11/1977,63,42,T
3/12/1977,65,45,T
3/13/1977,51,46,T
3/14/1977,55,38,T
3/15/1977,44,37,T
3/16/1977,64,36,T
3/17/1977,47,25,T
3/18/1977,44,26,1
3/19/1977,46,21,T
3/20/1977,35,22,T
3/21/1977,45,21,T
3/22/1977,50,25,0
3/23/1977,40,19,T
3/24/1977,40,16,T
3/25/1977,33,11,T
3/26/1977,35,11,T
3/27/1977,46,20,T
3/28/1977,63,39,0
3/29/1977,60,38,0
3/30/1977,74,55,0
3/31/1977,76,41,0
1/1/1978,40,20,2
1/2/1978,32,14,7
1/3/1978,20,7,8
1/4/1978,15,5,8
1/5/1978,32,12,6
1/6/1978,38,28,6
1/7/1978,33,29,5
1/8/1978,35,30,4
1/9/1978,44,10,6
1/10/1978,12,-9,6
1/11/1978,0,-11,6
1/12/1978,8,-2,6
1/13/1978,22,3,7
1/14/1978,25,17,13
1/15/1978,20,5,14
1/16/1978,12,5,14
1/17/1978,19,5,18
1/18/1978,23,14,30
1/19/1978,20,12,28
1/20/1978,20,11,31
1/21/1978,21,11,36
1/22/1978,18,8,36
1/23/1978,18,8,36
1/24/1978,28,9,36
1/25/1978,39,23,31
1/26/1978,40,24,22
1/27/1978,26,0,22
1/28/1978,8,-1,23
1/29/1978,8,-1,24
1/30/1978,9,2,25
1/31/1978,13,4,25
12/1/1978,40,21,T
12/2/1978,43,22,T
12/3/1978,45,32,T
12/4/1978,57,35,0
12/5/1978,58,27,0
12/6/1978,43,29,0
12/7/1978,46,36,0
12/8/1978,60,M,0
12/9/1978,60,28,T
12/10/1978,30,8,5
12/11/1978,14,5,5
12/12/1978,29,9,4
12/13/1978,37,25,4
12/14/1978,40,16,2
12/15/1978,30,18,2
12/16/1978,40,30,2
12/17/1978,48,25,1
12/18/1978,27,21,1
12/19/1978,30,18,1
12/20/1978,25,18,1
12/21/1978,55,25,T
12/22/1978,39,19,T
12/23/1978,35,20,T
12/24/1978,35,25,T
12/25/1978,36,26,6
12/26/1978,27,19,6
12/27/1978,30,9,8
12/28/1978,16,9,9
