ObDate,Snowfall,Snowdepth,TempMax,TempMin
1980-02-29 00:00:00.0000000,0.40000000000000002,1,32,8
1980-03-02 00:00:00.0000000,0.80000000000000004,1,14,-1
1980-03-13 00:00:00.0000000,1.8,2,34,17
1980-03-14 00:00:00.0000000,1.2,2,36,27
1980-03-15 00:00:00.0000000,0.20000000000000001,1,34,20
1980-12-12 00:00:00.0000000,1.6000000000000001,1,33,24
1980-12-25 00:00:00.0000000,2.7999999999999998,1,35,2
1980-12-26 00:00:00.0000000,0,1,15,-5
1980-12-27 00:00:00.0000000,0,1,27,3
1980-12-28 00:00:00.0000000,0,1,33,10
1980-12-29 00:00:00.0000000,0,1,46,10
1981-01-01 00:00:00.0000000,1.6000000000000001,1,35,28
1981-01-02 00:00:00.0000000,2.2000000000000002,3,35,25
1981-01-03 00:00:00.0000000,0.80000000000000004,4,29,14
1981-01-04 00:00:00.0000000,0.59999999999999998,4,31,-3
1981-01-05 00:00:00.0000000,0,4,9,-2
1981-01-06 00:00:00.0000000,0,3,19,0
1981-01-07 00:00:00.0000000,1.8,5,35,14
1981-01-08 00:00:00.0000000,0.20000000000000001,5,29,-11
1981-01-09 00:00:00.0000000,0,5,21,-11
1981-01-10 00:00:00.0000000,0.29999999999999999,4,26,8
1981-01-11 00:00:00.0000000,0,4,20,1
1981-01-12 00:00:00.0000000,0.20000000000000001,4,17,-8
1981-01-13 00:00:00.0000000,0.29999999999999999,4,18,-8
1981-01-14 00:00:00.0000000,0.20000000000000001,4,26,14
1981-01-15 00:00:00.0000000,1.5,5,37,21
1981-01-16 00:00:00.0000000,0.69999999999999996,6,33,25
1981-01-17 00:00:00.0000000,0.59999999999999998,6,31,16
1981-01-18 00:00:00.0000000,0,6,31,7
1981-01-19 00:00:00.0000000,0,5,32,7
1981-01-20 00:00:00.0000000,0,4,43,8
1981-01-21 00:00:00.0000000,0,2,47,25
1981-01-22 00:00:00.0000000,0,2,40,33
1981-01-23 00:00:00.0000000,0,1,35,31
1981-01-24 00:00:00.0000000,0.29999999999999999,1,35,30
1981-01-25 00:00:00.0000000,0,1,35,17
1981-02-06 00:00:00.0000000,0.40000000000000002,1,25,3
1981-02-08 00:00:00.0000000,0.80000000000000004,1,44,22
1981-02-09 00:00:00.0000000,2.7999999999999998,3,36,7
1981-02-10 00:00:00.0000000,0,2,31,7
1981-02-12 00:00:00.0000000,4.7999999999999998,4,58,-5
1981-02-13 00:00:00.0000000,0,2,19,-5
1981-02-14 00:00:00.0000000,0,1,36,-3
1981-03-06 00:00:00.0000000,0.20000000000000001,1,37,29
1981-03-19 00:00:00.0000000,0.59999999999999998,1,36,15
1981-03-20 00:00:00.0000000,1.2,1,30,20
1981-03-21 00:00:00.0000000,0.80000000000000004,1,36,21
1981-11-21 00:00:00.0000000,2,2,50,30
1981-11-24 00:00:00.0000000,0.80000000000000004,1,41,24
1981-12-09 00:00:00.0000000,0.80000000000000004,1,43,25
1981-12-10 00:00:00.0000000,0.20000000000000001,1,29,22
1981-12-11 00:00:00.0000000,0.80000000000000004,1,29,21
1981-12-12 00:00:00.0000000,0,1,28,23
1981-12-15 00:00:00.0000000,1.8999999999999999,2,32,22
1981-12-16 00:00:00.0000000,0.20000000000000001,2,34,25
1981-12-17 00:00:00.0000000,0.20000000000000001,1,31,14
1981-12-18 00:00:00.0000000,2.6000000000000001,4,31,22
1981-12-19 00:00:00.0000000,0,4,30,7
1981-12-20 00:00:00.0000000,0,4,21,14
1981-12-21 00:00:00.0000000,0,3,21,-1
1981-12-22 00:00:00.0000000,0.20000000000000001,2,38,1
1982-01-10 00:00:00.0000000,1.6000000000000001,1,24,-8
1982-01-11 00:00:00.0000000,0,1,-1,-10
1982-01-12 00:00:00.0000000,0,1,7,-7
1982-01-13 00:00:00.0000000,0.5,1,19,7
1982-01-14 00:00:00.0000000,3.6000000000000001,4,30,16
1982-01-15 00:00:00.0000000,0,3,24,4
1982-01-16 00:00:00.0000000,1.8,5,33,1
1982-01-17 00:00:00.0000000,0.40000000000000002,5,33,-16
1982-01-18 00:00:00.0000000,0.5,5,10,-16
1982-01-19 00:00:00.0000000,0,4,28,10
1982-01-20 00:00:00.0000000,0,4,34,11
1982-01-21 00:00:00.0000000,0,3,39,30
1982-01-22 00:00:00.0000000,0,3,35,22
1982-01-23 00:00:00.0000000,0,1,45,22
1982-01-26 00:00:00.0000000,1.8,2,20,4
1982-01-27 00:00:00.0000000,0,1,21,-2
1982-02-09 00:00:00.0000000,2.8999999999999999,3,40,13
1982-02-10 00:00:00.0000000,0.40000000000000002,3,33,7
1982-02-11 00:00:00.0000000,0,3,22,6
1982-02-12 00:00:00.0000000,0,3,35,3
1982-02-13 00:00:00.0000000,0.69999999999999996,4,35,3
1982-02-14 00:00:00.0000000,0,3,32,18
1982-02-15 00:00:00.0000000,0,1,45,26
1982-03-03 00:00:00.0000000,2.3999999999999999,2,47,21
1982-03-04 00:00:00.0000000,0,1,33,21
1982-03-07 00:00:00.0000000,3.2000000000000002,3,43,29
1982-03-08 00:00:00.0000000,2.2000000000000002,4,34,22
1982-03-09 00:00:00.0000000,0.80000000000000004,3,37,22
